Num;NAME;RAJD;DECJD;P0;P1;DM;TAU_SC;
139;B0329+54;53.24754000;54.57870250;0.714520;2.05e-15;26.76;0.00;
140;B0331+45;53.81934000;45.93151444;0.269201;7.35e-18;47.15;0.00;
141;J0335+6623;53.98776332;66.38989798;1.761934;4.81e-15;66.73;*;
142;J0337+1715;54.43260787;17.25411889;0.002733;1.77e-20;21.32;*;
143;J0337+79;54.34166667;79.02888889;2.056210;*;16.67;*;
144;J0340+4130;55.09703317;41.51258087;0.003299;7.05e-21;49.59;*;
145;J0341+5711;55.25000000;57.18333333;1.888000;*;101.00;*;
146;J0343+06;55.75000000;6.00000000;1.007640;*;46.00;*;
147;J0343-3000;55.86641667;-30.00763889;2.597027;5.70e-17;20.20;*;
148;B0339+53;55.80378531;53.21484111;1.934478;1.34e-14;67.30;0.00;
149;J0344-0901;56.15612917;-9.01740556;1.226006;3.47e-15;30.90;*;
150;J0348+0432;57.18182917;4.53651611;0.039123;2.41e-19;40.46;*;
151;J0349+2340;57.48908333;23.68138889;2.420771;1.10e-15;62.96;*;
152;J0355+28;58.75000000;28.00000000;0.094300;*;48.68;*;
153;B0353+52;59.43683458;52.61597028;0.197030;4.77e-16;103.71;0.00;
154;J0358+4155;59.51322767;41.92195353;0.226484;1.46e-16;46.33;*;
155;B0355+54;59.72384917;54.22049556;0.156384;4.39e-15;57.14;0.00;
156;J0358+6627;59.65803763;66.46293697;0.091506;1.09e-17;62.33;*;
157;B0403-76;60.46562500;-76.13693056;0.545254;1.54e-15;21.70;*;
158;J0402+4825;60.66930417;48.43264167;0.512194;2.75e-16;85.70;*;
159;J0405+3347;61.25000000;33.00000000;0.016500;*;53.30;*;
160;J0406+30;61.50000000;30.00000000;0.002600;*;49.37;*;
161;B0402+61;61.62533583;61.64483556;0.594576;5.57e-15;65.41;0.00;
162;J0407+1607;61.97891250;16.12122222;0.025702;7.90e-20;35.59;*;
163;J0408+551;62.00000000;55.00000000;1.837000;*;55.00;*;
164;J0408+552;62.00000000;55.00000000;0.754000;*;63.80;*;
165;J0410-31;62.66250000;-31.12472222;1.878500;*;9.20;*;
166;J0413+58;63.25000000;58.00000000;0.687000;*;57.00;*;
167;J0414+31;63.50000000;31.00000000;1.081000;*;64.10;*;
168;B0410+69;63.98188898;69.90274737;0.390715;7.66e-17;27.45;*;
169;J0417+35;64.42916667;35.75000000;0.654400;*;48.53;*;
170;J0417+61;64.25000000;61.13333333;0.440283;*;70.14;*;
171;J0418-4154;64.51572833;-41.90400556;0.757119;1.32e-15;24.32;*;
172;J0418+6635;64.70000000;66.59027778;0.002910;*;77.60;*;
173;J0419+44;64.75000000;44.00000000;1.241000;*;71.00;*;
174;J0421-0345;65.38981694;-3.75183645;2.161308;1.16e-15;44.61;*;
175;J0421+3255;65.38833333;32.93055556;0.900105;6.00e-17;77.02;*;
176;J0426+4933;66.52838750;49.56068333;0.922475;3.93e-14;84.30;*;
177;J0435+2749;68.96590833;27.81713889;0.326279;8.17e-18;53.19;*;
178;J0437-4715;69.31623406;-47.25253075;0.005757;5.73e-20;2.64;*;
179;J0447-04;71.75000000;-4.58333333;2.188190;*;29.83;*;
180;J0448-2749;72.17319758;-27.82964862;0.450448;1.48e-16;26.22;*;
181;J0449-7031;72.27362500;-70.52547222;0.479164;3.37e-15;65.83;*;
182;B0447-12;72.53658750;-12.80197222;0.438014;1.03e-16;37.04;0.00;
183;J0451-67;72.95833333;-67.30000000;0.245454;0.00e+00;45.00;*;
184;B0450-18;73.14210708;-17.98982528;0.548939;5.75e-15;39.90;0.00;
185;J0453+1559;73.43922367;15.98925175;0.045782;1.86e-19;30.31;*;
186;J0454+4529;73.74712500;45.49630556;1.389137;4.89e-15;20.83;*;
187;B0450+55;73.53229417;55.72817694;0.340729;2.37e-15;14.59;0.00;
188;B0456-69;73.94812500;-69.85952778;0.320423;1.02e-14;94.70;*;
189;J0456-69;74.12500000;-69.16666667;0.117073;*;103.00;*;
190;J0456-7031;74.01041667;-70.51850000;0.800132;3.67e-14;100.30;*;
191;J0457+23;74.27500000;23.56666667;0.504900;*;59.00;*;
192;J0457-6337;74.28245833;-63.62511111;2.497012;2.10e-16;27.50;*;
193;J0457-69;74.25833333;-69.76666667;0.231390;*;91.00;*;
194;J0458-0505;74.65467083;-5.08475000;1.883480;5.30e-16;47.81;*;
195;J0458-67;74.74583333;-67.71666667;1.133900;*;97.00;*;
196;J0459-0210;74.96642205;-2.16850891;1.133076;1.40e-15;21.02;*;
197;B0458+46;75.51900417;46.90169167;0.638565;5.58e-15;41.83;0.00;
198;B0502-66;75.71054167;-66.29966667;0.691251;2.31e-14;68.90;*;
199;J0506+50;76.55875000;50.50833333;0.003390;*;43.40;*;
200;J0509+0856;77.34264521;8.94028467;0.004056;4.41e-21;38.33;*;
201;J0509+37;77.25000000;37.53333333;2.496100;*;30.00;*;
202;J0509+3801;77.38245035;38.02168971;0.076541;7.93e-18;69.08;*;
203;J0511-6508;77.98541667;-65.14347222;0.322062;2.06e-16;25.66;*;
204;J0514-4002A;78.52788629;-40.04691472;0.004991;6.97e-22;52.14;*;
205;J0514-4002B;78.52804167;-40.04663889;0.002816;*;52.08;*;
206;J0514-4002C;78.52787500;-40.04705556;0.005565;*;52.05;*;
207;J0514-4002D;78.52804167;-40.04672222;0.004554;*;52.22;*;
208;J0514-4002E;78.52783333;-40.04658333;0.005596;*;51.93;*;
209;J0514-4002F;78.52791667;-40.04680556;0.004329;*;51.62;*;
210;J0514-4002G;78.52762500;-40.04669444;0.003803;*;50.96;*;
211;J0514-4002H;78.52750000;-40.04666667;0.005506;*;52.23;*;
212;J0514-4002I;78.52812500;-40.04672222;0.032654;*;52.58;*;
213;J0514-4002J;78.52791667;-40.04666667;0.006633;*;52.02;*;
214;J0514-4002K;78.52833333;-40.04666667;0.004692;*;51.93;*;
215;J0514-4002L;78.52833333;-40.04666667;0.002959;*;51.24;*;
216;J0514-4002M;78.52833333;-40.04666667;0.004798;*;51.68;*;
217;J0514-4002N;78.52791667;-40.04638889;0.005568;*;51.07;*;
218;J0514-4408;78.71745833;-44.14371667;0.320271;2.04e-15;15.12;*;
219;J0517+2212;79.32144583;22.21441667;0.222367;1.16e-17;18.70;*;
220;J0518+5125;79.60893750;51.43297222;0.912512;1.91e-16;39.24;*;
221;J0518+5416;79.72166526;54.28055748;0.340203;1.68e-15;42.33;*;
222;J0519+44;79.75000000;44.00000000;0.515000;*;52.00;*;
223;J0519-6932;79.94548750;-69.53985556;0.263212;6.97e-16;118.86;*;
224;J0520-2553;80.15077229;-25.88674819;0.241642;3.01e-17;33.77;*;
225;J0521-68;80.43333333;-68.58333333;0.433421;*;136.00;*;
226;J0522-6847;80.59608333;-68.78394444;0.674532;1.77e-14;126.45;*;
227;J0523-7125;80.95275000;-71.43127222;0.322500;*;157.50;*;
228;B0523+11;81.48520125;11.25530000;0.354438;7.36e-17;79.42;0.00;
229;B0525+21;82.21776667;22.00111111;3.745539;4.01e-14;50.87;0.00;
230;J0529-0715;82.28738750;-7.25734167;0.689224;5.75e-16;87.30;*;
231;B0529-66;82.46208333;-66.87775000;0.975737;1.55e-14;103.31;*;
232;J0530-39;82.50000000;-39.00000000;0.907000;*;48.50;*;
233;J0532-6639;83.24795833;-66.66036111;0.642743;5.35e-15;69.20;*;
234;J0532-69;83.01666667;-69.76666667;1.149196;*;124.00;*;
235;J0533+0402;83.35761667;4.03325000;0.963018;1.60e-16;83.70;0.00;
236;J0533-4524;83.30787500;-45.41394444;0.157285;2.80e-16;18.93;*;
237;J0533+6759;83.47975042;67.98819139;0.004388;1.26e-20;57.37;*;
238;J0534-13;83.50000000;-13.00000000;0.979000;*;74.30;*;
239;B0531+21;83.63322083;22.01446111;0.033392;4.21e-13;56.77;0.00;
240;J0534-6703;83.65070833;-67.06355556;1.817565;4.25e-13;95.30;*;
241;J0535-66;83.91666667;-66.86666667;0.210524;*;75.00;*;
242;J0535-6935;83.75000000;-69.58333333;0.200511;1.15e-14;93.70;*;
243;B0538-75;84.12841667;-75.73188889;1.245856;5.78e-16;18.58;*;
244;J0537-69;84.42916667;-69.35000000;0.112613;*;273.00;*;
245;J0538+2817;84.60440500;28.28587806;0.143158;3.67e-15;39.57;*;
246;J0540+3207;85.15465000;32.12702778;0.524271;4.48e-16;61.97;*;
247;B0540-69;85.04667500;-69.33171389;0.050570;4.79e-13;147.20;0.00;
248;J0540-7125;85.12833333;-71.42538889;1.286015;8.20e-16;29.41;*;
249;J0542-68;85.64583333;-68.26666667;0.425189;*;114.00;*;
250;B0540+23;85.79025000;23.48472222;0.245975;1.54e-14;77.70;0.00;
251;J0543-6851;85.96962500;-68.85702778;0.708954;3.94e-15;134.90;*;
252;J0545-03;86.25000000;-3.16666667;1.073930;*;67.20;*;
253;J0546+2441;86.61983333;24.68916667;2.843850;7.65e-15;73.81;*;
254;J0550+09;87.61666667;9.85000000;1.745000;*;86.60;*;
255;J0555+3948;88.75000000;39.80000000;1.146906;*;36.10;*;
256;J0555-7056;88.75770833;-70.94600000;0.827838;5.96e-15;72.90;*;
257;J0556-67;89.10416667;-67.48333333;0.790549;*;71.00;*;
258;J0557+1550;89.38103825;15.83501278;0.002556;7.35e-21;102.57;*;
259;J0557-2948;89.38749792;-29.80466778;0.043643;7.30e-20;49.03;*;
260;B0559-57;90.19375000;-57.94833333;2.261365;2.78e-15;30.00;*;
261;B0559-05;90.49573000;-5.46413083;0.395969;1.30e-15;80.54;0.00;
262;J0605+3757;91.27309958;37.95998889;0.002728;4.80e-21;20.95;*;
263;J0608+00;92.20416667;0.65000000;1.076200;*;48.50;*;
264;J0608+1635;92.21525833;16.58594444;0.945845;1.35e-14;86.08;*;
265;J0609+2130;92.49535875;21.50078889;0.055698;2.35e-19;38.73;*;
266;J0610-2100;92.55665306;-21.00774976;0.003861;1.23e-20;60.67;*;
267;J0611+04;92.82500000;4.10000000;1.674430;*;69.90;*;
268;J0611+1436;92.82770417;14.61444444;0.270329;4.00e-15;43.99;*;
269;J0611+30;92.81666667;30.26666667;1.412090;*;45.26;*;
270;B0609+37;93.20286134;37.36037689;0.297982;5.95e-17;27.15;0.00;
271;J0612+37216;93.18375562;37.36117381;0.443871;1.50e-16;39.27;*;
272;J0613-0200;93.43323292;-2.01312150;0.003062;9.59e-21;38.77;0.00;
273;J0613+3731;93.30062500;37.52730556;0.619198;3.24e-15;18.99;*;
274;B0611+22;93.57085750;22.49912444;0.334960;5.94e-14;96.91;0.00;
275;J0614-3329;93.54311583;-33.49836611;0.003149;1.75e-20;37.05;*;
276;J0614+83;93.50000000;83.23333333;1.039203;*;44.20;*;
277;J0621+0336;95.29675417;3.61264444;0.269954;7.24e-18;72.53;*;
278;J0621+1002;95.34214317;10.04409311;0.028854;4.73e-20;36.55;*;
279;J0621+2514;95.29522583;25.23439722;0.002722;2.48e-20;83.63;*;
280;J0623+0340;95.94482917;3.66855556;0.613760;8.84e-17;54.00;*;
281;B0621-04;96.08345088;-4.41401459;1.039076;8.30e-16;70.83;0.00;
282;J0625+10;96.43750000;10.26666667;0.498397;*;78.00;*;
283;J0627+0649;96.97345250;6.83170278;0.346523;1.70e-15;86.60;*;
284;J0627+0706;96.93405000;7.10916667;0.475885;2.98e-14;138.25;*;
285;J0627+16;96.80416667;16.20000000;2.180000;*;113.00;*;
286;J0628+0909;97.15076250;9.15386111;1.241421;5.48e-16;88.30;*;
287;B0626+24;97.27386375;24.26154056;0.476623;2.00e-15;84.18;0.00;
288;J0630-0046;97.61231667;-0.76829167;0.680575;3.75e-15;97.90;*;
289;J0630+19;97.51666667;19.61666667;1.248550;*;48.10;*;
290;B0628-28;97.70585164;-28.57854967;1.244419;7.12e-15;34.42;0.00;
291;J0631+0646;97.96825000;6.77061111;0.110979;3.62e-15;195.20;*;
292;J0631+1036;97.86468333;10.61736111;0.287800;1.05e-13;125.36;0.00;
293;J0633+1746;98.47563750;17.77025250;0.237099;1.10e-14;2.89;*;
294;J0633-2015;98.28691667;-20.25197222;3.253211;3.82e-15;90.70;*;
295;J0636-23;99.00000000;-23.00000000;0.476000;*;59.12;*;
296;J0636-3044;99.28750000;-30.84500000;0.003946;*;15.46;*;
297;J0636-4549;99.14060000;-45.82572778;1.984597;3.17e-15;26.31;*;
298;J0636+5128;99.02019777;51.48332374;0.002869;3.45e-21;11.11;*;
299;J0645+5158;101.49617629;51.97080920;0.008853;4.92e-21;18.25;*;
300;J0645+80;101.50000000;80.15000000;0.657873;*;49.70;*;
