TAU_SC_ERR,JNAME,DM,TAU_SC,DM_ERR
,J0522-6847,126.45,,0.07
,J0523-7125,157.5,,
2.9e-07,J0525+1115,79.418,7.46e-06,0.013
,J0525-6607,,,
3.1e-07,J0528+2200,50.8695,6.3e-07,0.0013
,J0529-0715,87.3,,0.4
,J0529-6652,103.31,,0.07
,J0530-39,48.5,,0.2
,J0532-6639,69.2,,0.2
,J0532-69,124.0,,1.0
1.3e-06,J0533+0402,83.7,3.04e-06,0.1
,J0533+6759,57.369,,0.002
,J0533-4524,18.93,,0.02
1.4e-07,J0534+2200,56.77118,1.455e-05,0.00024
,J0534+34,24.5,,1.5
,J0534-13,74.3,,0.3
,J0534-6703,95.3,,0.1
,J0535-66,75.0,,1.0
,J0535-6935,93.7,,0.4
,J0536-7543,18.58,,0.02
,J0537-69,273.0,,1.0
,J0537-6910,,,
,J0538+2817,39.57,,0.001
,J0540+3207,61.97,,0.04
5e-05,J0540-6919,147.2,0.00205,0.1
,J0540-7125,29.41,,0.07
,J0542-68,114.0,,5.0
3.1e-07,J0543+2329,77.7026,9.4e-07,0.001
,J0543-6851,134.9,,0.6
,J0544+20,56.9,,
,J0545-03,67.2,,0.4
,J0546+2441,73.81,,0.03
,J0550+09,86.6,,
,J0554+3107,,,
,J0555+3948,36.1,,0.3
,J0555-7056,72.9,,0.1
,J0556-67,71.0,,
,J0557+1550,102.5723,,0.0005
,J0557-2948,49.033,,0.002
,J0600-5756,30.0,,8.0
7e-07,J0601-0527,80.538,1.17e-05,0.005
,J0605+3757,20.9462,,0.0004
,J0608+00,48.5,,0.3
,J0608+1635,86.08,,0.03
,J0609+2130,38.73,,0.02
,J0610-2100,60.6722,,0.0011
,J0611+04,69.9,,
,J0611+1436,43.99,,0.07
,J0611+30,45.2551,,0.0016
9e-08,J0612+3721,27.15495,1.7e-07,0.00034
,J0612+37216,39.27,,0.006
,J0613+3731,18.99,,0.012
2.3e-08,J0613-0200,38.775,7e-08,0.0005
2.2e-07,J0614+2229,96.91,1.272e-05,0.04
,J0614+83,44.2,,0.3
,J0614-3329,37.05245,,0.00014
,J0621+0336,72.53,,0.07
