TAU_SC_ERR,JNAME,DM,TAU_SC,DM_ERR
,J1730-2304,9.6257,,0.0005
,J1730-2900,289.0,,5.0
0.0004,J1730-3350,261.29,0.021,0.04
,J1730-3353,256.0,,10.0
,J1730-34,628.0,,5.0
,J1731-1847,106.4711,,0.0006
0.0005,J1731-3123,354.5,0.0151,0.2
,J1731-33,571.0,,9.0
,J1731-3322,877.4,,
1.4e-06,J1731-4744,123.056,6.43e-05,0.004
,J1732-1930,72.43,,0.14
,J1732-3131,15.44,,0.32
,J1732-3426,513.5,,1.8
,J1732-35,340.0,,2.0
,J1732-3729,317.0,,3.0
2.9e-05,J1732-4128,195.3,0.00019,0.4
,J1732-4156,228.7,,1.5
,J1732-5049,56.8209,,0.0004
,J1733-01,61.98,,0.08
,J1733-2228,41.14,,0.03
,J1733-2533,242.0,,5.0
,J1733-2837,225.0,,5.0
,J1733-3030,636.0,,3.0
,J1733-3322,524.0,,1.7
,J1733-3716,153.18,,0.08
,J1733-4005,317.8,,1.1
,J1733-5515,83.9,,0.8
,J1734-0212,65.05,,0.09
,J1734-2415,126.3,,0.7
,J1734-2859,313.9,,0.9
,J1734-3058,260.0,,1.4
,J1734-3333,578.0,,9.0
,J1735+6320,41.853,,0.001
,J1735-0243,54.9,,0.2
,J1735-0724,73.512,,0.004
,J1735-3258,758.0,,3.0
,J1736+05,42.0,,8.0
,J1736-2457,169.4,,0.7
,J1736-2819,261.0,,11.0
,J1736-2843,331.0,,10.0
,J1736-3422,,,
,J1736-3511,106.0,,3.0
,J1737-0314A,82.1,,0.0
,J1737-0314B,81.0,,0.0
,J1737-0314C,80.0,,0.0
,J1737-0314D,78.8,,0.0
,J1737-0314E,80.4,,0.0
,J1737-0811,55.306,,0.0011
,J1737-3102,280.0,,6.0
,J1737-3137,488.1,,0.4
,J1737-3320,804.0,,5.0
,J1737-3555,89.41,,0.04
1.4e-08,J1738+0333,33.77312,5.6e-08,4e-05
,J1738+04,23.6,,
,J1738-2330,96.6,,1.3
,J1738-2647,182.2,,1.6
,J1738-2736,323.6,,0.7
,J1738-2955,223.4,,0.6
,J1738-3107,735.0,,10.0
,J1738-3211,49.59,,0.04
,J1738-3316,273.0,,4.0
,J1739+0612,95.52,,0.04
,J1739-1313,58.2,,0.5
,J1739-2521,186.4,,
,J1739-2903,138.55,,0.02
,J1739-3023,170.5,3.877e-05,0.1
,J1739-3049,573.2,,2.1
0.0002,J1739-3131,596.9,0.0682,0.1
,J1739-3159,337.0,,5.0
,J1739-3951,24.6,,0.4
8e-06,J1740+1000,23.897,0.001108,0.025
1.3e-07,J1740+1311,48.66823,6.3e-07,0.00043
,J1740+27,35.46,,0.05
,J1740-2540,333.0,,5.0
0.0008,J1740-3015,151.96,0.0011,0.01
0.0001,J1740-3052,738.8,0.0121,0.05
,J1740-3327,274.1,,1.5
,J1740-5340A,71.8,,0.2
,J1741+1351,24.19871,,0.00014
,J1741+2758,29.14487,,0.00011
,J1741+3855,47.224,,0.002
1.4e-06,J1741-0840,74.9,1.75e-05,0.05
,J1741-2019,74.9,,0.4
,J1741-2054,4.7,,0.1
,J1741-21,150.7,,0.7
,J1741-2719,361.9,,0.4
,J1741-2733,147.4,,0.2
,J1741-2945,310.3,,1.2
,J1741-3016,382.0,,6.0
,J1741-34,241.0,,8.0
2.9e-06,J1741-3927,158.2,0.0001257,0.13
,J1742-0203,81.89,,0.03
,J1742-3321,,,
,J1742-3957,220.0,,8.0
,J1742-4616,115.96,,0.14
,J1743+05,56.1,,
,J1743-0339,30.26,,0.11
4e-07,J1743-1351,116.3,2.8e-06,0.03
,J1743-2442,239.0,,5.0
0.00017,J1743-3150,193.05,0.00216,0.07
,J1743-3153,505.7,,1.2
,J1743-35,174.0,,5.0
,J1743-4212,131.94,,0.05
,J1744-1134,3.13849,,0.00012
,J1744-1610,66.67,,0.14
,J1744-2335,96.66,,0.02
9e-06,J1744-3130,192.9,0.001634,0.7
,J1744-3922,148.1,,0.7
,J1744-5337,108.85,,0.74
,J1744-7619,,,
,J1745+1017,23.9711,,0.0003
,J1745+1252,66.141,,0.005
,J1745+42,38.0,,0.03
,J1745-0129,89.3,,0.3
,J1745-0952,64.501,,0.004
,J1745-2229,299.0,,3.0
,J1745-23,244.94,,0.09
,J1745-2758,422.0,,9.0
0.2,J1745-2900,1778.0,1.3,3.0
,J1745-2910,1088.0,,
,J1745-2912,1130.0,,20.0
1.4e-06,J1745-3040,88.373,2.7e-05,0.004
,J1745-3812,163.6,,0.2
,J1746+2245,49.8543,,0.0057
,J1746+2540,51.2044,,0.0033
,J1746-2849,1456.0,,3.0
,J1746-2850,962.7,,0.7
,J1746-2856,1168.0,,7.0
,J1746-3239,,,
,J1747-1030,128.0,,7.0
,J1747-2647,570.0,,9.0
,J1747-2802,835.0,,14.0
,J1747-2809,1133.0,,3.0
,J1747-2958,101.5,,0.1
,J1747-4036,152.9407,,0.0008
1.51e-06,J1748-1300,99.364,3.46e-06,0.006
,J1748-2021A,219.4,,0.2
,J1748-2021B,220.922,,0.011
,J1748-2021C,226.95,,0.06
,J1748-2021D,224.98,,0.03
,J1748-2021E,224.1,,0.04
,J1748-2021F,220.43,,0.08
,J1748-2444,207.33,,0.09
,J1748-2446A,242.15,0.000132,0.04
,J1748-2446C,237.0,,1.0
,J1748-2446D,243.83,,
,J1748-2446E,236.84,,
,J1748-2446F,239.18,,
,J1748-2446G,237.57,,
,J1748-2446H,238.13,,
,J1748-2446I,238.73,,
,J1748-2446J,234.35,,
,J1748-2446K,234.81,,
,J1748-2446L,237.74,,
,J1748-2446M,238.65,,
,J1748-2446N,238.47,,
,J1748-2446O,236.38,,
,J1748-2446P,238.79,,
,J1748-2446Q,234.5,,
,J1748-2446R,237.6,,
,J1748-2446S,236.26,,
,J1748-2446T,237.7,,
,J1748-2446U,235.5,,
,J1748-2446V,239.11,,
,J1748-2446W,239.14,,
,J1748-2446X,240.03,,
,J1748-2446Y,239.11,,
,J1748-2446Z,238.85,,
,J1748-2446aa,237.42,,
,J1748-2446ab,238.34,,
,J1748-2446ac,238.72,,
,J1748-2446ad,235.6,,0.1
,J1748-2446ae,238.75,,
,J1748-2446af,237.34,,
,J1748-2446ag,237.75,,
,J1748-2446ah,237.75,,
,J1748-2446ai,233.9,,
,J1748-2446aj,238.633,,0.006
,J1748-2446ak,236.705,,0.005
,J1748-2446al,236.48,,0.03
,J1748-2446an,237.736,,0.008
,J1748-244am,238.193,,0.003
,J1748-30,584.0,,5.0
,J1748-3009,420.2,,
,J1749+16,59.6,,
,J1749+5952,45.0694,,0.0004
,J1749-2146,260.0,,20.0
,J1749-2347,344.0,,4.0
,J1749-2629,409.0,,11.0
,J1749-3002,509.4,0.00646,0.3
,J1749-4931,55.29,,0.49
,J1749-5417,69.0,,
,J1749-5605,58.0,,5.0
,J1750+07,55.4,,
,J1750-2043,239.0,,7.0
,J1750-2438,476.0,,5.0
,J1750-2444,331.0,,4.0
,J1750-2536,179.395,,0.009
,J1750-28,388.0,,12.0
,J1750-3157,206.34,,0.04
5e-05,J1750-3503,189.35,0.00037,0.02
,J1750-3703A,233.82,,0.03
,J1750-3703B,234.391,,0.009
,J1750-3703C,230.67,,0.02
,J1750-3703D,230.09,,0.17
,J1751-2516,556.0,,3.0
,J1751-2737,260.0,0.0018,
,J1751-2857,42.789,,0.0005
4e-05,J1751-3323,296.7,0.09374,0.6
,J1751-4657,20.4,1.33e-08,0.4
9e-08,J1752+2359,36.19635,1.8e-07,0.0006
,J1752-2410,508.3,,0.9
8e-09,J1752-2806,50.372,1.02e-06,0.008
,J1752-2821,516.3,,1.3
,J1753-12,73.2,,5.2
,J1753-1914,105.3,,0.3
,J1753-2240,158.6,,0.4
0.0004,J1753-2501,672.0,0.3288,3.0
,J1753-28,18.0,,0.9
,J1753-2819,298.4,,
,J1753-38,167.6,,0.2
,J1754+0032,70.2804,,0.0007
,J1754+5201,35.0096,,0.0064
,J1754-2422,738.0,,6.0
,J1754-3014,89.7,,0.07
,J1754-3443,188.7,,0.09
,J1754-3510,81.23,,0.1
,J1755-0903,63.67,,0.05
,J1755-1650,159.9,,1.0
,J1755-2025,364.3,,0.5
,J1755-2521,252.0,,4.0
,J1755-25211,835.0,,5.0
,J1755-2534,590.0,,3.0
,J1755-2550,750.9,,0.4
,J1755-26,405.0,,4.0
,J1755-2725,115.1,,0.07
,J1755-33,266.5,,
,J1755-3716,167.566,,0.005
,J1756+1822,70.8,,
,J1756-2225,329.0,,1.0
,J1756-2251,121.2312,,0.0003
,J1756-2435,367.1,0.0295,0.4
,J1756-25,706.0,,8.0
,J1756-2619,534.0,,2.0
,J1757-1500,150.0,,
,J1757-16,132.2,,0.1
,J1757-1854,378.111,,0.013
,J1757-2223,239.3,,0.4
7e-07,J1757-2421,179.454,0.0004116,0.011
,J1757-2745,334.0,,
,J1757-5322,30.8047,,0.0004
2.5e-07,J1758+3030,35.0674,5.2e-07,0.0014
,J1758-1931,207.0,,5.0
,J1758-2206,678.0,,4.0
,J1758-2540,218.2,,1.3
,J1758-2630,328.0,,3.0
,J1758-2846,66.6,,0.3
,J1759+5036,7.775,,0.003
,J1759-1029,115.4,,0.6
,J1759-1736,206.0,,3.0
,J1759-1903,467.0,,4.0
,J1759-1940,302.7,,1.0
,J1759-1956,236.4,,1.9
2.2e-06,J1759-2205,177.157,6.57e-05,0.005
,J1759-2302,889.0,,1.0
,J1759-2307,812.6,,1.5
,J1759-24,772.0,,14.0
,J1759-2549,424.0,,0.2
,J1759-2922,79.42,,0.06
,J1759-3107,128.3,,0.3
,J1759-5505,63.0,,0.3
,J1800+5034,22.71,,0.06
,J1800-0125,51.0,,0.2
,J1800-2114,641.0,,18.0
,J1800-2343,280.0,,40.0
7e-07,J1801-0357,120.37,4.4e-06,0.03
,J1801-0857A,182.614,,0.0
,J1801-0857B,182.39,,0.06
,J1801-0857C,182.457,,0.0
,J1801-0857D,174.487,,0.0
,J1801-0857E,183.29,,0.0
,J1801-0857F,183.71,,0.0
,J1801-0857G,185.3,,0.0
,J1801-0857H,179.6,,0.0
,J1801-0857I,177.8,,0.0
,J1801-1417,57.2516,,0.0002
,J1801-1855,484.0,,14.0
,J1801-1909,264.0,,9.0
,J1801-2115,778.8,,0.1
,J1801-2154,386.0,,1.0
0.01,J1801-2304,1067.85,0.547,0.1
,J1801-2451,291.55,,0.05
,J1801-2920,125.613,,0.014
,J1801-3210,177.729,,0.002
,J1801-3458,146.0,,6.0
,J1802+0128,97.97,,0.12
,J1802+03,77.0,,
,J1802-0523,121.0,,
,J1802-1745,264.2,,0.3
,J1802-2124,149.5902,,0.0004
,J1802-2426,711.0,,6.0
,J1802-3346,217.0,,5.0
,J1803+1358,,,
,J1803-1616,388.1,,2.0
,J1803-1857,392.0,,1.1
,J1803-1920,436.1,,1.7
7e-06,J1803-2137,233.99,0.0054,0.05
,J1803-2149,,,
,J1803-2712,165.5,,0.3
,J1803-3002A,192.6234,,0.0005
,J1803-3002B,192.6,,
,J1803-3002C,194.5,,
,J1803-3002D,192.73,,
,J1803-3329,170.9,,0.6
,J1804-0735,186.316,,0.013
,J1804-2228,424.0,,7.0
,J1804-2717,24.6746,,0.0005
,J1804-28,213.0,,0.3
,J1804-2858,232.528,,0.002
4.3e-07,J1805+0306,80.857,1.43e-06,0.008
,J1805+0615,64.883,,
,J1805-0619,147.1,,0.12
,J1805-1504,225.0,,3.0
,J1805-2032,932.3,,2.0
,J1805-2037,708.1,,1.6
,J1805-2447,269.0,,3.0
,J1805-2948,167.9,,0.9
,J1806+1023,52.03,,0.07
,J1806+2819,18.6802,,0.0004
7e-08,J1806-1154,122.41,1.462e-05,0.05
,J1806-1618,319.0,,5.0
,J1806-1920,683.0,,7.0
,J1806-2125,747.0,,1.0
,J1807+04,53.0,,
,J1807+0756,89.29,,0.03
7e-07,J1807-0847,112.3802,3.14e-05,0.0011
,J1807-2459A,134.00401,,0.00058
,J1807-2459B,137.1535,,0.002
,J1807-2557,385.0,,10.0
1.4e-05,J1807-2715,312.98,0.00027,0.03
,J1808+00,149.2,,0.11
7e-06,J1808-0813,151.27,8.7e-05,0.06
,J1808-1020,225.3,,0.8
,J1808-1517,205.0,,5.0
,J1808-1726,536.0,,7.0
,J1808-2024,,,
5e-05,J1808-2057,606.8,0.03586,0.9
,J1808-2701,95.0,,4.0
,J1808-3249,147.3,,0.09
,J1809+17,47.32,,0.09
,J1809-0119,138.3,,0.2
,J1809-0743,240.7,,0.14
,J1809-1429,411.3,,1.6
,J1809-1850,598.0,,13.0
1.7e-05,J1809-1917,197.1,0.005434,0.4
,J1809-1943,178.0,,5.0
,J1809-2004,867.1,,1.7
,J1809-2109,381.91,,0.05
,J1809-2332,,,
,J1809-3547,193.84,,0.07
,J1810+0705,79.425,,0.005
,J1810+1744,39.7,,
,J1810-1441,304.9,,1.3
,J1810-1709,670.0,,20.0
,J1810-1820,452.2,,2.5
,J1810-2005,240.72,,0.04
,J1810-5338,45.0,,2.0
,J1811+0702,57.8,,0.1
,J1811-0154,148.1,,0.2
,J1811-1049,253.3,,
,J1811-1717,545.5,,
0.001,J1811-1736,473.93,0.042,0.04
,J1811-1835,761.0,,11.0
,J1811-1925,,,
,J1811-2405,60.61997,,6e-05
,J1811-2439,167.2,,0.11
,J1811-4930,44.0,,0.5
,J1812+0226,104.14,,0.03
,J1812-15,431.0,,10.0
0.0002,J1812-1718,251.4,0.0318,0.1
0.001,J1812-1733,509.8,0.102,0.1
,J1812-1910,892.0,,5.0
,J1812-20,457.0,,19.0
,J1812-2102,547.2,,1.0
,J1812-2526,361.4,,0.4
,J1812-2748,104.0,,2.0
,J1812-3039,141.4,,0.2
,J1813+1822,60.8,,0.5
,J1813+4013,41.55656,,0.00022
,J1813-1246,,,
0.11,J1813-1749,1087.0,4.14,3.0
,J1813-2113,462.3,,1.5
,J1813-2242,333.0,,3.0
,J1813-2621,122.4924,,0.001
,J1814+1130,65.0,,1.0
,J1814+22,62.313,,0.011
,J1814+31,,,
,J1814-0521,130.6,,0.3
,J1814-0618,168.0,,6.0
,J1814-1649,782.0,,6.0
,J1814-1744,820.0,,2.0
,J1815+5546,58.999,,0.007
,J1815-1738,724.6,,0.2
,J1815-1910,547.8,,0.4
,J1816+4510,38.8874,,0.0004
,J1816-0755,117.9,,0.06
,J1816-1446,629.0,,4.0
0.0001,J1816-1729,520.7,0.0143,0.2
2.2e-06,J1816-2650,128.12,5.48e-05,0.03
,J1816-5643,52.4,,1.1
,J1817-0743,14.8,,0.4
,J1817-1511,970.0,,5.0
,J1817-1742,,,
,J1817-1938,519.6,,
,J1817-2311,240.0,,40.0
,J1817-3618,94.13,,0.1
7e-06,J1817-3837,102.847,2.9e-05,0.006
,J1818-0151,209.0,,
,J1818-1116,422.0,,7.0
0.0002,J1818-1422,619.65,0.0598,0.07
,J1818-1448,644.0,,6.0
,J1818-1519,845.0,,6.0
,J1818-1541,690.0,,5.0
,J1818-1556,230.0,,4.0
0.0005,J1818-1607,699.2,0.045,0.8
,J1819+1305,64.808,,0.013
,J1819-0925,378.0,,3.0
,J1819-1008,404.0,,3.0
0.002,J1819-1114,309.7,0.051,0.2
,J1819-1131,578.0,,13.0
,J1819-1318,35.1,,1.5
,J1819-1408,1075.0,,41.0
,J1819-1458,196.0,,0.4
0.0004,J1819-1510,418.14,0.0197,0.04
,J1819-17,67.0,,23.0
,J1819-1717,405.0,,2.0
,J1819-37,68.2,,0.2
1.4e-07,J1820-0427,84.435,2.003e-05,0.017
,J1820-0509,102.4,,0.09
0.0005,J1820-1346,771.0,0.1109,0.2
,J1820-1529,768.5,,0.6
,J1820-1818,436.0,0.00437,1.2
,J1821+0155,51.75415,,3e-05
,J1821+1715,60.2844,,0.0025
,J1821+4147,40.673,,0.003
,J1821-0256,84.0,,0.4
,J1821-0331,171.5,,
,J1821-1419,1123.0,,16.0
,J1821-1432,570.0,,20.0
,J1822+02,103.8,,0.4
,J1822+0705,62.2,,0.3
,J1822+1120,95.2,,0.6
,J1822+2617,64.7,,0.1
,J1822-0719,199.0,,5.0
,J1822-0848,186.3,,0.7
,J1822-0902,448.1,,1.5
,J1822-0907,467.0,,5.0
,J1822-1252,925.0,,25.0
9e-05,J1822-1400,649.27,0.00681,0.04
,J1822-1604,,,
,J1822-1617,647.0,,19.0
1.4e-06,J1822-2256,121.2,0.0001059,0.04
,J1822-4209,72.514,,0.005
4e-08,J1823+0550,66.775,2.4e-07,0.003
2.2e-06,J1823-0154,135.87,4.31e-05,0.05
8e-06,J1823-1115,428.59,0.005954,0.09
,J1823-1126,607.0,,3.0
,J1823-1347,1044.0,,6.0
,J1823-1526,611.0,,5.0
,J1823-1807,330.0,,4.0
,J1823-3021A,86.8797,,0.0056
,J1823-3021B,87.01,,0.1
,J1823-3021C,86.88,,0.24
,J1823-3021D,86.8,,1.1
,J1823-3021E,91.4,,
,J1823-3021F,86.7,,
,J1823-3021G,86.206,,0.006
,J1823-3021H,86.85,,
,J1823-3106,50.245,,0.004
,J1823-3543,,,
,J1824+1014,59.8807,,
,J1824-0127,63.0,,0.02
,J1824-0132,79.0,,
0.0002,J1824-1118,601.31,0.0269,0.06
0.0003,J1824-1159,462.96,0.0188,0.09
,J1824-1350,551.0,,7.0
0.0003,J1824-1423,427.63,0.0128,0.08
,J1824-1500,571.0,,6.0
2.2e-05,J1824-1945,224.38,0.000409,0.06
,J1824-2233,156.5,,1.2
,J1824-2328,195.4,,0.2
,J1824-2452A,119.9069,0.000245,
,J1824-2452B,119.5,,
,J1824-2452C,120.7,,
,J1824-2452D,119.5,,
,J1824-2452E,119.8,,
,J1824-2452F,123.8,,
,J1824-2452G,119.4,,
,J1824-2452H,121.5,,
,J1824-2452I,119.0,,
,J1824-2452J,119.2,,
,J1824-2452K,119.8,,
,J1824-2452L,119.0,,
,J1824-2452M,119.352,,0.011
,J1824-2452N,119.321,,0.003
,J1824-2537,158.5,,0.2
,J1825+0004,56.618,,0.009
,J1825-0319,119.5584,,0.0006
,J1825-0935,19.3833,2.19e-07,0.0009
,J1825-1108,121.0,,19.0
0.001,J1825-1446,352.23,0.021,0.04
,J1825-31,93.3,,1.1
,J1825-33,43.2,,2.0
9e-05,J1826-1131,320.58,0.00119,0.06
,J1826-1256,,,
7e-06,J1826-1334,231.0,0.004671,1.0
,J1826-1419,160.0,,1.0
,J1826-1526,530.0,,4.0
,J1826-2415,81.8625,,0.0011
,J1827-0750,375.45,,0.07
,J1827-0849,,,
,J1827-0934,259.2,,0.5
,J1827-0958,430.0,0.0309,4.0
,J1827-1446,,,
,J1828+0625,22.4331,,0.0012
,J1828+1221,69.1,,0.4
,J1828+1359,56.0,,1.0
,J1828-0611,363.2,,0.5
,J1828-1007,302.6,,1.2
,J1828-1057,249.0,,2.0
,J1828-1101,605.0,,0.1
,J1828-1336,494.7,,1.8
,J1828-2119,268.0,,0.6
,J1829+0000,116.8,,0.05
,J1829+2456,13.7,,0.005
,J1829+25,74.0,,0.7
,J1829-0734,316.8,,1.8
,J1829-1011,610.0,,
2.9e-05,J1829-1751,216.829,0.000672,0.003
,J1830-0052,220.4,,0.9
,J1830-0131,95.7,,0.3
,J1830-10,203.0,,2.0
4e-07,J1830-1059,159.7,0.0006508,0.01
,J1830-1135,257.0,,6.0
,J1830-1313,537.0,,3.0
,J1830-1414,393.6,,1.4
,J1831-04,216.0,,10.0
,J1831-0823,245.9,,1.7
,J1831-0952,247.0,,5.0
,J1831-1223,342.0,,5.0
,J1831-1329,338.0,,5.0
,J1831-1423,352.0,,3.0
,J1832+0029,32.7,,0.4
,J1832+27,46.0,,3.0
,J1832-0644,574.3,,0.3
4e-05,J1832-0827,300.869,0.00038,0.01
,J1832-0836,28.19086,,0.00011
7e-05,J1832-1021,474.14,0.01249,0.03
,J1832-28,127.0,,3.0
,J1833-0209,325.4,,
7e-06,J1833-0338,234.538,0.000365,0.013
,J1833-0556,461.0,,13.0
0.006,J1833-0559,346.7,0.18,0.1
1.7e-05,J1833-0827,410.95,0.005176,0.1
,J1833-0831,,,
,J1833-1034,169.5,,0.1
,J1833-1055,543.0,,4.0
,J1833-3840,78.6,,
,J1833-6023,35.0,,6.0
,J1834+10,78.479,,0.024
,J1834-0010,88.65,,0.15
,J1834-0031,155.1,,0.6
1.08e-06,J1834-0426,79.308,2.17e-06,0.008
,J1834-0602,445.0,,4.0
,J1834-0633,707.0,,9.0
0.009,J1834-0731,288.3,0.122,0.4
,J1834-0742,552.0,,18.0
,J1834-0812,1020.0,,50.0
,J1834-0845,,,
,J1834-09,529.0,,7.0
,J1834-1202,342.4,,1.3
,J1834-1710,123.8,,0.5
,J1834-1855,185.2,,1.2
,J1835-0114,98.253,,0.003
,J1835-0349,269.6,,0.7
,J1835-0522,456.0,,4.0
,J1835-0600,780.0,,20.0
0.003,J1835-0643,464.8,0.11,0.1
,J1835-0847,850.0,,
,J1835-0924,471.0,,7.0
,J1835-09242,500.0,,
,J1835-0928,450.0,,
,J1835-0944,276.2,,0.1
,J1835-0946,193.3,,0.5
8e-07,J1835-1020,115.9,0.0003531,0.08
3e-06,J1835-1106,132.679,4.9e-05,0.003
,J1835-15,22.9,,0.0
,J1835-1548,327.0,,6.0
,J1835-3259A,63.35,,
,J1835-3259B,63.5083,,0.0006
,J1836+51,44.4,,0.3
,J1836+5925,,,
3e-06,J1836-0436,231.5,0.004569,0.3
,J1836-0517,564.0,,5.0
0.003,J1836-1008,316.98,0.002,0.03
,J1836-11,326.0,,8.0
,J1836-1324,157.33,,0.1
,J1836-2354A,89.107,,0.002
,J1836-2354B,93.3,,0.2
,J1837+0033g,186.9,,
,J1837+0053,124.0,,3.0
,J1837+1221,100.6,,0.4
,J1837-0045,86.98,,0.09
,J1837-0559,319.5,,0.6
0.006,J1837-0604,462.0,0.062,10.0
,J1837-0653,316.1,,0.4
,J1837-0822,506.0,,
,J1837-1243,300.0,,9.0
,J1837-1837,100.74,,0.13
,J1838+0022g,122.6,,
,J1838+0027g,205.9,,
,J1838+0044g,229.6,,
,J1838+1523,68.26,,0.03
,J1838+1650,32.95162,,0.00099
,J1838+50,21.81,,0.01
,J1838-01,320.4,,
,J1838-0107,268.9,,
,J1838-0453,617.2,,0.4
,J1838-0537,,,
,J1838-0549,276.6,,0.4
,J1838-0624,424.0,,9.0
,J1838-0655,,,
,J1838-1046,209.3,,0.3
,J1838-1849,169.9,,
,J1839-0141,293.2,,0.6
,J1839-0223,330.0,,
0.002,J1839-0321,450.5,0.014,0.1
,J1839-0332,195.1,,
,J1839-0402,236.6,,0.2
,J1839-0436,292.7,,1.8
,J1839-0459,237.0,,0.3
,J1839-0627,92.49,,0.13
0.0007,J1839-0643,493.5,0.0473,0.2
,J1839-0905,344.5,,0.3
,J1839-1238,169.8,,1.8
,J1840+0012g,100.9,,
,J1840+0214,182.4,,1.0
8e-08,J1840+5640,26.77163,1.8e-07,0.00017
,J1840-0445,379.0,,
0.0004,J1840-0559,319.1,0.0235,0.1
,J1840-0626,748.0,,8.0
,J1840-0643,494.0,,
,J1840-0753,691.0,,7.0
,J1840-0809,349.8,,0.8
,J1840-0815,233.2,,1.2
,J1840-0840,285.2,,1.4
,J1840-1122,311.0,,3.0
,J1840-1207,290.9,,0.2
,J1840-1419,19.4,,1.4
,J1841+0130,125.88,,0.06
,J1841+0912,49.1579,1.58e-07,0.0043
,J1841-0157,475.0,,3.0
,J1841-0310,216.0,,12.0
9e-06,J1841-0345,194.32,0.002118,0.06
,J1841-04,29.0,,3.0
3e-05,J1841-0425,325.487,0.00322,0.015
,J1841-0456,,,
0.04,J1841-0500,532.0,4.119,1.0
,J1841-0524,284.5,,0.3
,J1841-1404,267.0,,8.0
,J1841-7845,41.0,,2.0
,J1842+0257,146.0,,0.8
,J1842+0358,109.9,,0.4
,J1842+0638,212.2,,1.2
,J1842+1332,102.5,,0.7
0.0003,J1842-0153,427.2,0.0327,0.06
,J1842-0309,955.0,,7.0
8e-05,J1842-0359,195.98,0.00157,0.08
,J1842-0415,183.78,,0.12
,J1842-0612,485.0,,10.0
,J1842-0800,188.6,,
5e-06,J1842-0905,343.4,0.001246,0.2
,J1842-27,62.0,,
,J1842-39,47.6,,0.1
,J1843+0119,252.1,,0.7
,J1843+2024,85.3,,0.2
,J1843-0000,101.8,,0.2
,J1843-0050,507.0,,7.0
,J1843-0137,486.0,,3.0
,J1843-0211,441.7,,0.9
,J1843-0355,797.7,,0.6
,J1843-0408,246.0,,3.0
,J1843-0459,444.1,,0.5
,J1843-0510,257.0,,
,J1843-0702,228.6,,0.1
,J1843-0744,321.0,,5.0
,J1843-0806,215.8,,0.9
,J1843-1113,59.95797,,0.00013
,J1843-1448,114.544,,0.0009
,J1843-1507,215.5,,0.7
,J1843-40,66.0,,
,J1844+00,346.6,,0.12
,J1844+0028g,181.2,,
,J1844+0115,148.25,,0.005
,J1844+1454,41.48555,1.32e-07,0.00061
,J1844+41,50.0,,10.0
0.0003,J1844-0030,603.2,0.0123,0.1
0.0004,J1844-0244,422.13,0.02,0.06
,J1844-0256,826.0,,2.0
,J1844-03,,,
,J1844-0302,533.0,,
,J1844-0310,836.1,,0.5
,J1844-0346,,,
1.4e-05,J1844-0433,123.158,0.000314,0.02
,J1844-0452,626.0,,4.0
,J1844-0502,318.0,,5.0
7e-05,J1844-0538,411.71,0.01173,0.04
,J1845+0623,113.0,,1.4
,J1845-0028g,301.0,,
,J1845-0316,500.0,,0.14
,J1845-0434,230.8,,0.2
,J1845-0545,315.9,,1.2
,J1845-0635,414.0,,1.0
,J1845-0743,280.93,,0.02
,J1845-0826,228.2,,1.2
,J1845-1114,206.7,,0.5
,J1845-1351,197.4,,1.4
,J1846+0051,140.0,,3.0
,J1846+0919,,,
,J1846-0257,237.0,,7.0
,J1846-0258,,,
6e-05,J1846-0749,389.13,0.00714,0.02
,J1846-07492,190.8,,0.2
,J1846-4249,62.0,,
,J1846-7403,97.0,,20.0
,J1847+01,20.1,,0.005
,J1847+0110g,183.4,,
,J1847+0133g,193.8,,
,J1847+0614g,270.5,,
,J1847-0130,667.0,,6.0
7e-06,J1847-0402,141.979,0.000241,0.005
,J1847-0427,188.3,,
,J1847-0438,229.0,,4.0
,J1847-0443,454.9,,2.0
,J1847-0605,207.9,,1.8
,J1848+0127g,77.0,,
,J1848+0150g,500.8,,
,J1848+0351,336.6,,0.4
,J1848+0604,242.7,,0.7
,J1848+0647,27.9,,0.2
,J1848+0826,90.677,,0.08
,J1848+12,139.0,,20.0
,J1848+1516,77.436,,0.009
,J1848-0023,34.9,,0.3
,J1848-0055,1166.0,,7.0
4e-05,J1848-0123,159.1,0.00084,0.2
,J1848-0511,418.0,,7.0
,J1848-0601,496.6,,0.4
,J1848-1150,163.4,,1.8
,J1848-1243,91.96,,0.07
7e-06,J1848-1414,134.47,5.8e-05,0.09
,J1848-1952,18.23,,0.07
,J1849+0001g,189.4,,
,J1849+0009g,501.5,,
,J1849+0016g,271.4,,
,J1849+0037g,611.5,,
,J1849+0106,216.24,,0.15
0.0043,J1849+0127,207.3,0.0132,2.6
,J1849+0225g,259.9,,
,J1849+0339g,349.5,,
,J1849+0409,63.97,,0.01
,J1849+0430,191.0,,1.0
,J1849+2423,62.2677,,0.0016
,J1849+2559,75.0016,,0.0004
,J1849-0001,,,
,J1849-0014g,346.6,,
,J1849-0019g,513.2,,
,J1849-0040,1267.6,,1.8
,J1849-0317,40.0,,0.2
,J1849-0614,118.2,,0.2
7e-06,J1849-0636,148.168,0.000175,0.012
,J1850+0011g,506.5,,
6e-05,J1850+0026,201.2,0.00023,0.3
,J1850+0124,118.88,,0.02
,J1850+0242,540.068,,0.009
,J1850+0423,265.8,,0.4
,J1850+1335,60.1396,,0.0066
,J1850+15,24.7,,8.7
