I;NAME;RAJD;DECJD;DM;RM;
61;B0339+53;55.80378531;53.21484111;67.30;-69.70;
62;J0344-0901;56.15612917;-9.01740556;30.90;7.00;
63;J0348+0432;57.18182917;4.53651611;40.46;48.27;
64;B0353+52;59.43683458;52.61597028;103.71;261.00;
65;B0355+54;59.72384917;54.22049556;57.14;81.50;
66;B0403-76;60.46562500;-76.13693056;21.70;19.00;
67;J0402+4825;60.66930417;48.43264167;85.70;-111.00;
68;B0402+61;61.62533583;61.64483556;65.41;8.18;
69;J0407+1607;61.97891250;16.12122222;35.59;2.50;
70;B0410+69;63.98188898;69.90274737;27.45;-21.42;
71;J0417+35;64.42916667;35.75000000;48.53;42.00;
72;J0421-0345;65.38981694;-3.75183645;44.61;30.00;
73;J0426+4933;66.52838750;49.56068333;84.30;-169.00;
74;J0435+2749;68.96590833;27.81713889;53.19;0.96;
75;J0437-4715;69.31623406;-47.25253075;2.64;0.15;
76;J0448-2749;72.17319758;-27.82964862;26.22;-0.70;
77;J0449-7031;72.27362500;-70.52547222;65.83;41.00;
78;B0447-12;72.53658750;-12.80197222;37.04;13.00;
79;B0450-18;73.14210708;-17.98982528;39.90;11.10;
80;J0453+1559;73.43922367;15.98925175;30.31;-35.30;
81;B0450+55;73.53229417;55.72817694;14.59;5.80;
82;B0456-69;73.94812500;-69.85952778;94.70;-26.00;
83;J0457-6337;74.28245833;-63.62511111;27.50;14.00;
84;J0459-0210;74.96642205;-2.16850891;21.02;18.00;
85;B0458+46;75.51900417;46.90169167;41.83;-175.20;
86;J0509+0856;77.34264521;8.94028467;38.33;44.14;
87;J0511-6508;77.98541667;-65.14347222;25.66;27.00;
88;J0514-4002A;78.52788629;-40.04691472;52.14;-12.00;
89;J0514-4002B;78.52804167;-40.04663889;52.08;-13.00;
90;J0514-4002C;78.52787500;-40.04705556;52.05;-8.00;
91;J0514-4002D;78.52804167;-40.04672222;52.22;-12.00;
92;J0514-4002E;78.52783333;-40.04658333;51.93;-6.00;
93;J0514-4002G;78.52762500;-40.04669444;50.96;-12.00;
94;J0514-4002H;78.52750000;-40.04666667;52.23;-11.00;
95;J0514-4002J;78.52791667;-40.04666667;52.02;-14.00;
96;J0514-4002K;78.52833333;-40.04666667;51.93;-13.00;
97;J0514-4002M;78.52833333;-40.04666667;51.68;-13.00;
98;J0514-4408;78.71745833;-44.14371667;15.12;17.40;
99;J0517+2212;79.32144583;22.21441667;18.70;-20.20;
100;J0519-6932;79.94548750;-69.53985556;118.86;85.00;
101;J0520-2553;80.15077229;-25.88674819;33.77;-12.00;
102;J0522-6847;80.59608333;-68.78394444;126.45;-123.00;
103;J0523-7125;80.95275000;-71.43127222;157.50;456.00;
104;B0523+11;81.48520125;11.25530000;79.42;20.10;
105;B0525+21;82.21776667;22.00111111;50.87;-40.02;
106;J0529-0715;82.28738750;-7.25734167;87.30;-46.00;
107;B0529-66;82.46208333;-66.87775000;103.31;9.00;
108;J0532-6639;83.24795833;-66.66036111;69.20;54.00;
109;J0533+0402;83.35761667;4.03325000;83.70;-71.00;
110;B0531+21;83.63322083;22.01446111;56.77;-45.44;
111;J0534-6703;83.65070833;-67.06355556;95.30;-35.00;
112;B0538-75;84.12841667;-75.73188889;18.58;26.10;
113;J0538+2817;84.60440500;28.28587806;39.57;39.00;
114;J0540+3207;85.15465000;32.12702778;61.97;13.70;
115;B0540-69;85.04667500;-69.33171389;147.20;-245.80;
116;J0540-7125;85.12833333;-71.42538889;29.41;43.00;
117;B0540+23;85.79025000;23.48472222;77.70;2.85;
118;J0546+2441;86.61983333;24.68916667;73.81;24.00;
119;J0555+3948;88.75000000;39.80000000;36.10;9.00;
120;J0555-7056;88.75770833;-70.94600000;72.90;26.00;
121;J0557+1550;89.38103825;15.83501278;102.57;26.00;
122;J0557-2948;89.38749792;-29.80466778;49.03;1.10;
123;B0559-05;90.49573000;-5.46413083;80.54;64.00;
124;J0610-2100;92.55665306;-21.00774976;60.67;33.74;
125;J0611+30;92.81666667;30.26666667;45.26;14.46;
126;B0609+37;93.20286134;37.36037689;27.15;34.51;
127;J0613-0200;93.43323292;-2.01312150;38.77;18.37;
128;J0613+3731;93.30062500;37.52730556;18.99;16.00;
129;B0611+22;93.57085750;22.49912444;96.91;66.00;
130;J0614-3329;93.54311583;-33.49836611;37.05;38.93;
131;J0614+83;93.50000000;83.23333333;44.20;-13.00;
132;J0621+1002;95.34214317;10.04409311;36.55;53.20;
133;J0621+2514;95.29522583;25.23439722;83.63;10.60;
134;B0621-04;96.08345088;-4.41401459;70.83;49.00;
135;J0627+0649;96.97345250;6.83170278;86.60;179.00;
136;J0627+0706;96.93405000;7.10916667;138.25;212.00;
137;B0626+24;97.27386375;24.26154056;84.18;75.70;
138;J0630-0046;97.61231667;-0.76829167;97.90;44.00;
139;B0628-28;97.70585164;-28.57854967;34.42;46.53;
140;J0631+0646;97.96825000;6.77061111;195.20;105.00;
141;J0631+1036;97.86468333;10.61736111;125.36;137.00;
142;J0633+1746;98.47563750;17.77025250;2.89;2.80;
143;J0633-2015;98.28691667;-20.25197222;90.70;-5.00;
144;J0636-3044;99.28750000;-30.84500000;15.46;36.90;
145;J0636+5128;99.02019777;51.48332374;11.11;-7.00;
146;J0645+5158;101.49617629;51.97080920;18.25;-2.90;
147;J0646+0905;101.62927083;9.09711111;147.85;-149.00;
148;B0643+80;103.31287500;80.86672778;33.32;-31.77;
149;J0656-2228;104.12586250;-22.47376389;32.39;83.00;
150;B0656+14;104.95081667;14.23872222;13.94;22.73;
151;B0655+64;105.15750833;64.30311111;8.77;-18.07;
152;J0709+0458;107.28485579;4.98097058;44.27;43.40;
153;J0711+0931;107.90075000;9.52361111;46.24;62.80;
154;J0711-6830;107.97575018;-68.51315682;18.41;23.86;
155;J0719-2545;109.78075000;-25.75006389;253.89;164.00;
156;J0721-2038;110.42876958;-20.63529472;76.01;-18.40;
157;J0725-1635;111.25168397;-16.59605977;98.98;188.00;
158;J0726-2612;111.53383333;-26.21058333;69.40;126.00;
159;J0729-1448;112.31854167;-14.81022222;91.89;46.00;
160;B0727-18;112.38473708;-18.61173444;61.29;51.00;
161;J0732+2314;113.15631500;23.24839167;44.67;3.60;
162;J0737-2202;114.43362917;-22.03481111;95.59;162.70;
163;J0737-3039A;114.46353508;-30.66130953;48.92;120.46;
164;J0737-3039B;114.46353508;-30.66130953;48.92;118.00;
165;B0736-40;114.63442500;-40.71095000;160.90;12.10;
166;J0740+6620;115.19080319;66.34264435;14.96;-41.00;
167;B0740-28;115.70440833;-28.37882222;73.73;149.95;
168;B0743-53;116.26866667;-53.88598889;121.38;-71.00;
169;J0749-4247;117.45697917;-42.79503889;104.59;125.00;
170;J0750-6846;117.64937500;-68.77605833;54.60;-31.00;
171;J0751+1807;117.78814721;18.12735733;30.24;41.59;
172;B0751+32;118.66953333;32.53227778;39.99;4.73;
173;B0756-15;119.62112833;-15.46909389;63.33;55.00;
174;J0803-0942;120.86186667;-9.71411389;21.10;-17.50;
175;J0807-5421;121.94660417;-54.35735000;165.03;-65.00;
176;B0808-47;122.43264583;-47.89852778;228.30;105.00;
177;B0809+74;123.74791667;74.48491667;5.75;-14.00;
178;J0815+0939;123.78656667;9.66408333;52.66;54.00;
179;J0818-3232;124.60806250;-32.54181389;131.80;25.20;
180;B0818-13;125.10992375;-13.84884972;40.94;-1.20;
181;J0820-3826;125.24970417;-38.44525000;195.50;122.00;
182;J0820-3921;125.20462500;-39.36547222;179.40;126.90;
183;B0818-41;125.06441667;-41.24311111;113.40;57.70;
184;J0821-4221;125.43598333;-42.35707222;270.60;251.10;
185;B0820+02;125.79068792;1.98679694;23.73;13.00;
